Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 Routes with IATA code
Airport: [ORD] Chicago Ohare Intl, United States
Airport: [LAX] Los Angeles Intl, United States
Airport: [DEN] Denver Intl, United States
Airport: [LHR] Heathrow, United Kingdom
Airport: [ATL] Hartsfield Jackson Atlanta Intl, United States
Airport: [CDG] Charles De Gaulle, France
Airport: [PEK] Capital Intl, China
Airport: [SIN] Changi Intl, Singapore
Airport: [FRA] Frankfurt Main, Germany
Airport: [SYD] Sydney Intl, Australia
Airport: [DFW] Dallas Fort Worth Intl, United States
Airport: [JFK] John F Kennedy Intl, United States
Airport: [AMS] Schiphol, Netherlands
Airport: [DME] Domododevo, Russia
Airport: [YYZ] Lester B Pearson Intl, Canada
Airport: [ICN] Incheon Intl, South Korea
Airport: [DXB] Dubai Intl, United Arab Emirates
Airport: [PVG] Pudong, China
Airport: [IST] Ataturk, Turkey
Airport: [BCN] Barcelona, Spain
Airport: [HKG] Hong Kong Intl, Hong Kong
Airport: [BOG] Eldorado Intl, Colombia
Airport: [BKK] Suvarnabhumi Intl, Thailand
Airport: [MIA] Miami Intl, United States
Airport: [MEX] Licenciado Benito Juarez Intl, Mexico
Airport: [FCO] Fiumicino, Italy
Airport: [BNE] Brisbane Intl, Australia
Airport: [LGW] Gatwick, United Kingdom
Airport: [SFO] San Francisco Intl, United States
Airport: [MUC] Franz Josef Strauss, Germany
Airport: [IAH] George Bush Intercontinental, United States
Airport: [KUL] Kuala Lumpur Intl, Malaysia
Airport: [MAD] Barajas, Spain
Airport: [DEL] Indira Gandhi Intl, India
Airport: [CLT] Charlotte Douglas Intl, United States
Airport: [SEA] Seattle Tacoma Intl, United States
Airport: [MSP] Minneapolis St Paul Intl, United States
Airport: [NRT] Narita Intl, Japan
Airport: [MNL] Ninoy Aquino Intl, Philippines
Airport: [VIE] Schwechat, Austria
Airport: [LED] Pulkovo, Russia
Airport: [CAN] Baiyun Intl, China
Airport: [LAS] Mc Carran Intl, United States
Airport: [AEP] Aeroparque Jorge Newbery, Argentina
Airport: [GRU] Guarulhos Gov Andre Franco Montouro, Brazil
Airport: [JNB] Johannesburg Intl, South Africa
Airport: [MAN] Manchester, United Kingdom
Airport: [PMI] Son Sant Joan, Spain
Airport: [BOM] Chhatrapati Shivaji Intl, India
Airport: [EWR] Newark Liberty Intl, United States
Airport: [BRU] Brussels Natl, Belgium
Airport: [YVR] Vancouver Intl, Canada
Airport: [DUS] Dusseldorf, Germany
Airport: [CGK] Soekarno Hatta Intl, Indonesia
Airport: [CTU] Shuangliu, China
Airport: [DTW] Detroit Metro Wayne Co, United States
Airport: [KMG] Wujiaba, China
Airport: [MEL] Melbourne Intl, Australia
Airport: [IAD] Washington Dulles Intl, United States
Airport: [MCO] Orlando Intl, United States
Airport: [ANC] Ted Stevens Anchorage Intl, United States
Airport: [AUH] Abu Dhabi Intl, United Arab Emirates
Airport: [TPE] Taoyuan Intl, Taiwan
Airport: [PHL] Philadelphia Intl, United States
Airport: [CPH] Kastrup, Denmark
Airport: [AKL] Auckland Intl, New Zealand
Airport: [PHX] Phoenix Sky Harbor Intl, United States
Airport: [ZRH] Zurich, Switzerland
Airport: [HND] Tokyo Intl, Japan
Airport: [BOS] General Edward Lawrence Logan Intl, United States
